,xlocs,ylocs,shot_zone
555,-73.52941191,179.3965517,zone9
556,-73.52941191,163.1896552,zone9
557,-73.52941191,146.9827586,zone2
558,-73.52941191,130.7758621,zone2
559,-73.52941191,114.5689655,zone8
560,-73.52941191,98.36206897,zone8
561,-73.52941191,82.15517241,zone8
562,-73.52941191,65.94827586,zone12
563,-73.52941191,49.74137931,zone12
564,-73.52941191,33.53448276,zone12
565,-73.52941191,17.32758621,zone12
566,-73.52941191,1.120689655,zone12
567,-73.52941191,-15.0862069,zone12
568,-73.52941191,-31.29310345,zone12
569,-73.52941191,-47.5,zone12
570,-63.72549032,422.5,zone19
571,-63.72549032,406.2931034,zone19
572,-63.72549032,390.0862069,zone19
573,-63.72549032,373.8793103,zone19
574,-63.72549032,357.6724138,zone19
575,-63.72549032,341.4655172,zone19
576,-63.72549032,325.2586207,zone19
577,-63.72549032,309.0517241,zone18
578,-63.72549032,292.8448276,zone18
579,-63.72549032,276.637931,zone18
580,-63.72549032,260.4310345,zone17
581,-63.72549032,244.2241379,zone17
582,-63.72549032,228.0172414,zone9
583,-63.72549032,211.8103448,zone9
584,-63.72549032,195.6034483,zone9
585,-63.72549032,179.3965517,zone9
586,-63.72549032,163.1896552,zone9
587,-63.72549032,146.9827586,zone2
588,-63.72549032,130.7758621,zone2
589,-63.72549032,114.5689655,zone2
590,-63.72549032,98.36206897,zone8
591,-63.72549032,82.15517241,zone8
592,-63.72549032,65.94827586,zone12
593,-63.72549032,49.74137931,zone12
594,-63.72549032,33.53448276,zone12
595,-63.72549032,17.32758621,zone12
596,-63.72549032,1.120689655,zone12
597,-63.72549032,-15.0862069,zone12
598,-63.72549032,-31.29310345,zone12
599,-63.72549032,-47.5,zone12
600,-53.92156874,422.5,zone19
601,-53.92156874,406.2931034,zone19
602,-53.92156874,390.0862069,zone19
603,-53.92156874,373.8793103,zone19
604,-53.92156874,357.6724138,zone19
605,-53.92156874,341.4655172,zone19
606,-53.92156874,325.2586207,zone19
607,-53.92156874,309.0517241,zone18
608,-53.92156874,292.8448276,zone18
609,-53.92156874,276.637931,zone18
610,-53.92156874,260.4310345,zone17
611,-53.92156874,244.2241379,zone17
612,-53.92156874,228.0172414,zone9
613,-53.92156874,211.8103448,zone9
614,-53.92156874,195.6034483,zone9
615,-53.92156874,179.3965517,zone9
616,-53.92156874,163.1896552,zone9
617,-53.92156874,146.9827586,zone2
618,-53.92156874,130.7758621,zone2
619,-53.92156874,114.5689655,zone2
620,-53.92156874,98.36206897,zone2
621,-53.92156874,82.15517241,zone12
622,-53.92156874,65.94827586,zone12
623,-53.92156874,49.74137931,zone12
624,-53.92156874,33.53448276,zone12
625,-53.92156874,17.32758621,zone12
626,-53.92156874,1.120689655,zone12
627,-53.92156874,-15.0862069,zone12
628,-53.92156874,-31.29310345,zone12
629,-53.92156874,-47.5,zone12
630,-44.11764715,422.5,zone19
631,-44.11764715,406.2931034,zone19
632,-44.11764715,390.0862069,zone19
633,-44.11764715,373.8793103,zone19
634,-44.11764715,357.6724138,zone19
635,-44.11764715,341.4655172,zone19
636,-44.11764715,325.2586207,zone19
637,-44.11764715,309.0517241,zone18
638,-44.11764715,292.8448276,zone18
639,-44.11764715,276.637931,zone18
640,-44.11764715,260.4310345,zone17
641,-44.11764715,244.2241379,zone17
642,-44.11764715,228.0172414,zone9
643,-44.11764715,211.8103448,zone9
644,-44.11764715,195.6034483,zone9
645,-44.11764715,179.3965517,zone9
646,-44.11764715,163.1896552,zone2
647,-44.11764715,146.9827586,zone2
648,-44.11764715,130.7758621,zone2
649,-44.11764715,114.5689655,zone2
650,-44.11764715,98.36206897,zone2
651,-44.11764715,82.15517241,zone4
652,-44.11764715,65.94827586,zone12
653,-44.11764715,49.74137931,zone12
654,-44.11764715,33.53448276,zone12
655,-44.11764715,17.32758621,zone12
656,-44.11764715,1.120689655,zone12
657,-44.11764715,-15.0862069,zone12
658,-44.11764715,-31.29310345,zone12
659,-44.11764715,-47.5,zone12
660,-34.31372556,422.5,zone19
661,-34.31372556,406.2931034,zone19
662,-34.31372556,390.0862069,zone19
663,-34.31372556,373.8793103,zone19
664,-34.31372556,357.6724138,zone19
665,-34.31372556,341.4655172,zone19
666,-34.31372556,325.2586207,zone19
667,-34.31372556,309.0517241,zone18
668,-34.31372556,292.8448276,zone18
669,-34.31372556,276.637931,zone17
670,-34.31372556,260.4310345,zone17
671,-34.31372556,244.2241379,zone17
672,-34.31372556,228.0172414,zone9
673,-34.31372556,211.8103448,zone9
674,-34.31372556,195.6034483,zone9
675,-34.31372556,179.3965517,zone9
676,-34.31372556,163.1896552,zone2
677,-34.31372556,146.9827586,zone2
678,-34.31372556,130.7758621,zone2
679,-34.31372556,114.5689655,zone2
680,-34.31372556,98.36206897,zone2
681,-34.31372556,82.15517241,zone4
682,-34.31372556,65.94827586,zone4
683,-34.31372556,49.74137931,zone12
684,-34.31372556,33.53448276,zone12
685,-34.31372556,17.32758621,zone1
686,-34.31372556,1.120689655,zone1
687,-34.31372556,-15.0862069,zone1
688,-34.31372556,-31.29310345,zone12
689,-34.31372556,-47.5,zone12
690,-24.50980397,422.5,zone19
691,-24.50980397,406.2931034,zone19
692,-24.50980397,390.0862069,zone19
693,-24.50980397,373.8793103,zone19
694,-24.50980397,357.6724138,zone19
695,-24.50980397,341.4655172,zone19
696,-24.50980397,325.2586207,zone19
697,-24.50980397,309.0517241,zone18
698,-24.50980397,292.8448276,zone18
699,-24.50980397,276.637931,zone17
700,-24.50980397,260.4310345,zone17
701,-24.50980397,244.2241379,zone17
702,-24.50980397,228.0172414,zone9
703,-24.50980397,211.8103448,zone9
704,-24.50980397,195.6034483,zone9
705,-24.50980397,179.3965517,zone9
706,-24.50980397,163.1896552,zone2
707,-24.50980397,146.9827586,zone2
708,-24.50980397,130.7758621,zone2
709,-24.50980397,114.5689655,zone2
710,-24.50980397,98.36206897,zone2
711,-24.50980397,82.15517241,zone4
712,-24.50980397,65.94827586,zone4
713,-24.50980397,49.74137931,zone4
714,-24.50980397,33.53448276,zone12
715,-24.50980397,17.32758621,zone1
716,-24.50980397,1.120689655,zone1
717,-24.50980397,-15.0862069,zone1
718,-24.50980397,-31.29310345,zone1
719,-24.50980397,-47.5,zone12
720,-14.70588238,422.5,zone19
721,-14.70588238,406.2931034,zone19
722,-14.70588238,390.0862069,zone19
723,-14.70588238,373.8793103,zone19
724,-14.70588238,357.6724138,zone19
725,-14.70588238,341.4655172,zone19
726,-14.70588238,325.2586207,zone19
727,-14.70588238,309.0517241,zone18
728,-14.70588238,292.8448276,zone18
729,-14.70588238,276.637931,zone17
730,-14.70588238,260.4310345,zone17
731,-14.70588238,244.2241379,zone17
732,-14.70588238,228.0172414,zone9
733,-14.70588238,211.8103448,zone9
734,-14.70588238,195.6034483,zone9
735,-14.70588238,179.3965517,zone9
736,-14.70588238,163.1896552,zone2
737,-14.70588238,146.9827586,zone2
